District,Total votes,EVM votes,Postal votes,Winner,votes of winner,Winner votes %,winning party
Uttar Pradesh-Faizabad,1087121,1085766,1355,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Ambedkar Nagar,1090152,1088465,1687,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Bahraich,989848,988910,938,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Kaiserganj,981400,979823,1577,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Shrawasti,997007,996486,521,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Gonda,923816,922184,1632,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Domariyaganj,985269,985115,154,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Basti,1054539,1048885,5654,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Sant Kabir Nagar,1063390,1060806,2584,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Maharajganj,1226916,1225686,1230,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Gorakhpur,1184635,1181222,3413,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Kushi Nagar,1053117,1049179,3938,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Deoria,1015363,1008896,6467,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Bansgaon,969136,965064,4072,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Lalganj,960568,958322,2246,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Azamgarh,1029112,1025648,3464,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
Uttar Pradesh-Ghosi,1140781,1137117,3664,Vijay Kumar Singh,944503,61.96,Bharatiya Janata Party
