District,Total votes,Winner,votes of winner,winning party
Uttar Pradesh-Bansgaon,969136,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Lalganj,960568,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Azamgarh,1029112,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ghosi,1140781,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Salempur,922518,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ballia,989732,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Jaunpur,1040652,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Machhlishahr,1034925,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ghazipur,1105627,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Chandauli,1084961,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Varanasi,1060476,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Bhadohi,1039390,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Mirzapur,1108965,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Robertsganj,988287,Vijay Kumar Singh,944503,Bharatiya Janata Party
